library,real_time_solo_len,real_time_solo_median,real_time_solo_average,real_time_solo_std,real_time_solo_max,real_time_full_median,real_time_full_average,real_time_full_std,real_time_full_max,real_time_constant_median,real_time_constant_average,real_time_constant_std,real_time_constant_max
pysha3,7.0,0.938,0.9265714285714287,0.04632082736328277,0.977,0.9059999999999999,0.9258571428571427,0.05425688457522717,0.997,0.769,0.7665714285714286,0.027366994371914127,0.8009999999999999
pyshacl,4.0,1.134,1.1095,0.07637407937252011,1.17,3.2794999999999996,3.304,0.08498235110892138,3.42,0.834,0.8355,0.03696394639825861,0.8740000000000001
pysheds,1.0,1.876,1.876,,1.876,18.505,18.505,,18.505,1.0590000000000002,1.0590000000000002,,1.0590000000000002
pyshexc,7.0,1.026,1.026142857142857,0.04560858315210917,1.104,5.155,5.136000000000001,0.13661625086350435,5.312,0.871,0.8655714285714284,0.029290824176734533,0.9109999999999999
pyshp,4.0,1.7295,1.7265000000000001,0.03337164465031152,1.758,1.6385,1.63325,0.06110305502455122,1.695,0.7609999999999999,0.7579999999999999,0.01930457631409362,0.7759999999999999
pyshtools,4.0,5.3149999999999995,7.8,5.032862008837516,15.349,20.517,21.197999999999997,1.592119551625022,23.570999999999998,0.8445,0.84025,0.03235609164696302,0.8740000000000001
pyside2,4.0,11.5775,13.774000000000001,8.39743067848732,24.982,7.5169999999999995,13.9555,13.258854362274292,33.834,0.764,0.75325,0.043987687671286656,0.7929999999999999
pysimplegui,4.0,1.148,1.13575,0.03688156721182011,1.1640000000000001,1.0845,1.0845,0.02173323108360402,1.111,0.7384999999999999,0.74025,0.011324751652906183,0.754
pysindy,4.0,1.1385,1.13725,0.02657536453183659,1.162,10.816500000000001,11.026000000000002,0.5338432978568397,11.817,0.992,0.977,0.053987652909407484,1.021
pyslha,4.0,1.649,1.6525,0.03767846422914104,1.699,2.409,2.42525,0.09546159786357361,2.55,0.7885,0.7750000000000001,0.05106205375162003,0.8190000000000001
pysmt,7.0,1.213,1.201142857142857,0.042791855032737934,1.2429999999999999,1.212,1.2405714285714284,0.06042035292531031,1.341,0.7659999999999999,0.7527142857142858,0.04242921275769912,0.7859999999999999
pysndfile,1.0,8.443999999999999,8.443999999999999,,8.443999999999999,9.258,9.258,,9.258,8.734,8.734,,8.734
pysnooper,7.0,0.9,0.9139999999999999,0.029905406423142503,0.972,0.909,0.9054285714285715,0.028768368873105212,0.9470000000000001,0.785,0.7875714285714287,0.03805634919807353,0.836
pysocks,4.0,0.9025,0.9035,0.020888593378524455,0.93,0.8845000000000001,0.88175,0.026323310328806793,0.907,0.7985,0.79825,0.035103418636936216,0.8340000000000001
pysolar,4.0,0.9269999999999999,0.92925,0.024240118261537665,0.961,0.892,0.8985000000000001,0.03294945624235192,0.943,0.746,0.7575,0.03609709129556007,0.8079999999999999
pysolr,1.0,2.592,2.592,,2.592,3.553,3.553,,3.553,0.8420000000000001,0.8420000000000001,,0.8420000000000001
pysort,4.0,0.8495,0.8644999999999999,0.05001666388981441,0.9359999999999999,0.9039999999999999,0.88425,0.047863521252271723,0.9159999999999999,0.7995000000000001,0.7970000000000002,0.022045407685048635,0.8170000000000001
pysoundfile,4.0,0.9059999999999999,0.92375,0.049782024868420156,0.995,1.5785,1.5765,0.08298795093265059,1.653,0.7885,0.78525,0.009810708435174323,0.7929999999999999
pyspark,4.0,13.7775,17.56375,11.375259392646832,34.211,15.250499999999999,19.8435,11.974354164908716,37.325,0.748,0.75275,0.03608670115153228,0.794
pyspedas,4.0,1.645,1.6105,0.07755643106796485,1.6569999999999998,33.173,33.06824999999999,0.3788072288996957,33.396,1.0795,1.0635,0.07096712854084866,1.124
pyspice,4.0,1.1625,1.1375,0.07142595233293471,1.1909999999999998,10.434000000000001,10.51775,0.3804579477419291,11.047,0.8275,0.8240000000000001,0.02679552201394853,0.8490000000000001
pystan,4.0,7.286,7.425249999999999,0.3420383750399942,7.928999999999999,10.321,10.44775,0.36843577006944744,10.98,0.782,0.77925,0.03634441726959818,0.815
pystempel,1.0,1.063,1.063,,1.063,1.429,1.429,,1.429,0.78,0.78,,0.78
pystencils,4.0,1.9725000000000001,1.96525,0.02342897067023367,1.984,11.576,11.627,0.3038969123458371,12.01,0.807,0.77925,0.07628619359578331,0.836
pystokes,4.0,24.4685,24.4365,0.42187557407368426,24.919,24.7935,24.816250000000004,0.3297892003487468,25.225,23.999000000000002,23.96825,0.18809284055132444,24.160999999999998
pysurfer,7.0,3.267,2.7114285714285713,1.0519646472423012,3.5669999999999997,22.796999999999997,28.33742857142857,10.265973064078288,43.626000000000005,3.167,2.582,1.0878314820473498,3.278
